iter	Passed	Remaining
0	155	15419
1	157	7703
2	158	5127
3	159	3838
4	161	3064
5	162	2546
6	163	2177
7	165	1900
8	166	1684
9	167	1511
10	169	1369
11	170	1252
12	171	1149
13	173	1063
14	174	988
15	175	922
16	177	864
17	178	812
18	179	765
19	180	723
20	182	685
21	183	651
22	184	619
23	186	589
24	187	562
25	188	537
26	190	514
27	191	492
28	192	472
29	194	453
30	195	435
31	197	418
32	198	402
33	199	387
34	201	373
35	202	359
36	203	346
37	204	334
38	206	322
39	207	311
40	208	300
41	210	290
42	211	280
43	212	270
44	214	261
45	215	253
46	216	244
47	218	236
48	219	228
49	220	220
50	222	213
51	223	206
52	224	199
53	225	192
54	227	185
55	228	179
56	229	173
57	231	167
58	232	161
59	233	155
60	235	150
61	236	144
62	237	139
63	239	134
64	240	129
65	241	124
66	243	119
67	244	115
68	245	110
69	247	105
70	248	101
71	249	97
72	250	92
73	252	88
74	253	84
75	254	80
76	256	76
77	257	72
78	258	68
79	259	64
80	260	61
81	261	57
82	263	53
83	264	50
84	266	46
85	267	43
86	268	40
87	269	36
88	271	33
89	271	30
90	273	27
91	274	23
92	275	20
93	277	17
94	278	14
95	279	11
96	280	8
97	282	5
98	283	2
99	284	0
